Date,Timestamp,Open,High,Low,Volume,Price,prediction
01/01/2019,1546300800,131.9,140.51,130.67,3.05,139.61,136.8164723101039
01/02/2019,1548979200,106.74,108.54,104.41,4.98,106.98,105.11127731810758
01/05/2017,1493596800,83.51,88.1,66.0,1.26,81.4,76.82529378565246
01/08/2018,1533081600,431.88,434.43,407.96,1.64,420.3,416.1209837539942
01/09/2018,1535760000,281.94,301.92,281.76,4.53,295.31,296.63090502708667
01/10/2018,1538352000,232.8,235.95,225.33,8.31,231.77,228.6773742500638
01/11/2018,1541030400,198.59,199.79,197.84,12.55,198.17,196.85069853334068
01/12/2018,1543622400,113.76,120.45,111.62,2.87,118.23,116.61888602962897
03/01/2018,1514937600,858.78,954.73,840.0,1.09,942.01,927.1741061563729
03/01/2019,1546473600,152.96,154.3,144.39,4.02,146.94,147.0302250496726
03/04/2018,1522713600,385.02,418.78,380.89,1.06,415.55,409.1752610416158
03/04/2019,1554249600,163.47,177.29,152.24,47.66,160.34,168.73078402277747
03/06/2019,1559520000,269.03,269.77,248.77,9.23,250.37,255.01447054589397
03/07/2018,1530576000,475.73,483.93,460.63,1.72,461.89,469.6574712172139
04/03/2019,1551657600,131.02,131.57,123.25,14.11,125.97,125.29514288816361
04/04/2018,1522800000,415.58,416.38,371.35,1.12,378.68,387.2043808328826
04/09/2018,1536019200,288.98,292.6,283.4,5.02,285.17,285.7506481454891
04/10/2018,1538611200,220.48,227.14,219.75,7.83,222.57,223.38599991060954
04/11/2018,1541289600,200.27,218.35,199.38,54.2,211.86,215.23590808979378
05/07/2016,1467676800,11.42,11.49,9.35,1.12,10.53,10.219332150603154
06/01/2019,1546732800,153.48,158.29,148.63,4.23,154.96,152.77197070469487
06/02/2019,1549411200,107.37,107.67,102.28,6.15,104.63,102.87224470319826
06/03/2019,1551830400,136.82,149.49,133.94,14.7,137.62,144.79566933470744
06/06/2019,1559779200,245.81,250.0,236.4,7.72,248.54,241.11614737643214
07/05/2019,1557187200,172.99,181.39,169.06,15.23,169.34,176.12140494066017
07/06/2019,1559865600,248.63,253.12,244.33,7.41,248.98,247.0139945578
07/08/2018,1533600000,405.38,410.57,370.06,1.63,378.25,385.90795226280477
07/12/2017,1512604800,413.71,429.0,390.0,1.13,415.02,410.0765454189054
07/12/2018,1544140800,90.85,96.99,77.65,7.73,93.27,87.42495421436996
08/02/2019,1549584000,104.55,122.58,103.89,9.19,119.23,118.75801912485709
08/07/2018,1531008000,485.4,494.03,482.24,2.16,486.45,486.28302228359075
08/09/2017,1504828800,334.1,334.58,291.0,1.08,304.0,307.0410263114546
08/11/2018,1541635200,218.8,220.53,212.79,23.56,212.87,214.8136872069304
09/04/2019,1554768000,179.16,179.24,172.15,10.82,175.09,172.84126661242573
09/05/2018,1525824000,747.98,759.71,711.49,1.07,751.62,730.8260516866459
09/11/2018,1541721600,212.87,215.26,209.23,3.47,211.39,210.14834512336836
09/12/2018,1544313600,90.56,98.76,88.82,4.88,93.62,95.28193338760269
10/05/2019,1557446400,170.85,175.78,168.86,12.73,172.77,171.83497716600345
10/06/2018,1528588800,593.8,593.82,503.43,1.49,524.64,537.3875597608691
10/06/2019,1560124800,231.21,246.99,227.38,8.39,246.86,240.30167916517195
11/03/2019,1552262400,135.72,136.23,131.66,11.17,132.99,131.8688359157769
11/05/2018,1525996800,724.36,736.58,665.81,1.63,676.21,695.6084720789116
11/12/2018,1544486400,90.18,91.94,86.25,4.38,88.32,87.81483483193573
12/01/2019,1547251200,125.15,126.15,122.73,2.21,123.75,122.50655580077729
12/02/2019,1549929600,121.32,123.99,119.28,5.74,122.64,120.52619013386013
12/04/2018,1523491200,430.13,498.13,414.07,1.86,494.03,478.37807301619193
12/05/2018,1526083200,676.97,689.83,635.23,1.34,683.94,658.5633225550433
12/10/2018,1539302400,190.89,202.9,190.89,1.69,196.7,199.10319129491592
13/05/2019,1557705600,188.09,206.1,185.69,14.8,196.02,200.6481318032889
13/07/2018,1531440000,430.86,442.02,425.77,1.24,432.85,433.41787507171614
13/10/2017,1507852800,303.06,350.0,298.0,1.34,337.46,339.6259743577075
14/01/2019,1547424000,114.65,130.3,114.62,3.86,127.53,126.79849172158708
14/06/2016,1465862400,17.65,19.41,16.0,1.17,18.73,18.190197213348313
14/06/2019,1560470400,254.89,268.81,252.01,6.87,262.53,262.54992073821455
14/08/2018,1534204800,284.0,284.0,250.84,5.96,278.19,262.24203426728775
14/09/2018,1536883200,210.98,224.6,203.16,7.71,209.98,216.37183139181906
14/10/2018,1539475200,201.22,207.53,195.51,12.89,197.08,201.37547020837184
14/11/2018,1542153600,210.44,210.59,177.34,45.72,187.46,190.79398344485998
15/01/2019,1547510400,127.55,129.6,116.9,4.31,119.62,121.33126976409
15/05/2019,1557878400,217.34,249.78,217.32,18.66,248.15,244.20672068222456
15/06/2018,1529020800,519.49,520.73,483.99,1.25,487.88,495.3587082897053
15/06/2019,1560556800,262.53,271.61,260.92,6.52,267.75,266.4162629919593
15/08/2018,1534291200,278.3,303.85,277.91,5.17,281.12,298.01136104666836
15/10/2018,1539561600,197.09,235.83,195.4,41.35,214.26,229.9869951526344
16/02/2019,1550275200,121.72,124.5,121.71,5.33,122.87,122.13256950258842
16/03/2017,1489622400,34.8,46.21,34.8,3.06,45.07,44.60760716754608
16/03/2019,1552694400,136.77,143.95,136.75,16.89,141.15,141.41283374150953
16/04/2019,1555372800,160.16,166.64,159.52,7.66,165.65,163.25113600201746
16/07/2018,1531699200,450.87,480.84,446.14,1.42,479.79,470.5453268179011
16/10/2018,1539648000,214.27,218.71,211.37,20.24,215.06,214.42816774776583
16/12/2018,1544918400,83.9,87.62,83.89,3.61,84.72,85.51961612775852
17/01/2019,1547683200,121.71,123.03,117.51,3.61,122.03,118.44104953519873
17/03/2017,1489708800,45.07,51.88,32.84,3.39,44.65,43.81276500260751
17/06/2016,1466121600,20.86,21.69,11.51,4.72,15.61,16.364086097103172
17/06/2019,1560729600,268.0,274.14,266.96,7.41,273.0,269.5115641842571
18/02/2019,1550448000,133.79,147.64,125.07,11.93,145.8,139.53857997783143
18/05/2019,1558137600,244.38,247.84,232.13,13.93,233.89,237.69674974387232
18/06/2016,1466208000,15.19,15.3,10.13,3.04,11.41,12.416701234152493
18/06/2019,1560816000,273.02,273.26,261.76,7.39,264.59,263.43812740096917
19/01/2019,1547856000,119.34,125.37,119.34,3.36,123.02,122.69754902581388
19/03/2017,1489881600,34.2,45.69,34.1,1.69,43.17,43.978317019137066
19/06/2016,1466294400,10.76,13.36,10.55,1.14,12.43,12.919073581941765
19/06/2019,1560902400,264.59,269.79,263.61,6.23,268.26,265.2673628769619
19/07/2017,1500422400,226.56,245.61,187.0,2.33,194.63,219.41277020703552
19/09/2018,1537315200,209.02,214.91,199.19,5.68,209.74,206.20936458738333
20/03/2018,1521504000,555.75,566.63,517.02,1.16,557.08,538.3601403981529
20/06/2016,1466380800,12.33,12.49,10.51,1.11,11.9,11.35984972041404
20/07/2017,1500508800,194.63,238.0,194.63,2.11,227.29,231.86595676227222
20/12/2017,1513728000,799.98,826.2,709.0,1.48,794.99,765.4014034497687
21/01/2019,1548028800,117.52,118.04,114.15,4.8,116.05,114.06016608031032
21/03/2018,1521590400,557.09,589.83,545.87,1.01,560.24,574.8497212191841
21/03/2019,1553126400,139.32,139.74,133.05,12.95,135.11,134.1758962987185
21/04/2018,1524268800,617.1,623.86,574.73,1.23,605.59,593.356425253159
21/06/2019,1561075200,271.45,295.72,271.45,11.06,294.72,290.1079998951718
21/08/2018,1534809600,271.9,282.77,270.26,2.97,280.9,277.5484253351672
21/09/2018,1537488000,224.43,250.74,222.05,6.76,247.92,244.21777070414447
21/12/2017,1513814400,794.99,848.08,747.1,1.2,786.97,808.8324969438962
22/02/2019,1550793600,145.79,148.83,144.27,6.79,147.97,145.42764589987357
22/06/2016,1466553600,13.75,15.9,12.95,1.83,13.25,15.165797647256511
22/09/2018,1537574400,247.92,254.36,233.46,5.16,240.82,242.66391991267835
22/10/2018,1540166400,207.38,209.39,205.5,27.13,206.77,206.19354996301428
23/02/2019,1550880000,147.97,159.31,146.28,8.31,158.3,155.08827751983227
23/03/2019,1553299200,136.42,138.3,135.76,9.16,137.53,135.6137861970974
23/04/2019,1555977600,170.87,175.92,169.01,10.17,169.95,171.96686321323847
23/05/2019,1558569600,244.35,247.3,231.89,13.07,244.68,237.05050389914823
23/08/2018,1534982400,269.84,279.19,268.94,3.94,276.12,274.56883886086314
24/05/2018,1527120000,577.52,609.39,547.39,1.56,602.43,583.7292481786018
24/07/2016,1469318400,14.33,14.44,12.17,1.65,12.65,13.08521046994774
25/03/2019,1553472000,136.44,137.05,132.36,11.49,134.25,132.65644324797208
25/04/2018,1524614400,702.94,703.25,594.98,2.72,617.36,636.1292165459687
25/04/2019,1556150400,165.23,165.81,151.73,10.78,155.18,155.85923981167883
25/05/2019,1558742400,249.2,256.9,247.9,8.58,250.68,252.22156912907212
25/08/2018,1535155200,281.29,282.74,276.53,4.05,277.61,276.5916221463337
25/09/2018,1537833600,228.02,228.59,204.84,5.78,219.04,212.77500682098344
25/10/2018,1540425600,205.12,206.12,202.99,15.68,204.11,202.4912685832267
26/04/2018,1524700800,617.37,665.2,600.69,1.37,662.36,645.2354600639516
26/04/2019,1556236800,155.16,161.82,152.32,11.52,157.97,157.35904420116503
26/07/2016,1469491200,13.55,13.86,11.91,1.36,12.01,12.770592300972261
26/08/2018,1535241600,277.61,281.34,269.75,4.14,274.46,273.29398869192346
26/10/2018,1540512000,204.08,208.94,203.19,13.99,204.58,205.59754449164
27/01/2019,1548547200,115.83,116.24,112.03,4.65,112.5,112.0335870915976
27/02/2019,1551225600,136.66,159.6,128.15,16.11,135.2,150.89604014678946
27/03/2018,1522108800,485.97,491.77,446.7,1.31,448.48,464.284094138661
27/03/2019,1553644800,134.37,140.08,133.89,15.47,139.65,137.379407305073
27/05/2017,1495843200,152.8,161.0,110.42,1.26,149.99,134.9103747174255
27/06/2018,1530057600,430.32,445.38,423.01,2.02,442.16,435.23863525884883
27/10/2018,1540598400,204.78,206.22,203.06,9.76,204.36,202.57197489792406
28/01/2019,1548633600,112.5,113.14,101.6,7.45,105.82,105.08994967848983
28/02/2019,1551312000,135.2,138.56,133.09,16.08,135.47,135.2138062869117
28/05/2019,1559001600,270.97,275.39,265.5,9.35,271.18,268.52001067716265
28/06/2019,1561680000,297.73,312.7,295.3,9.93,310.56,306.3018361003805
28/07/2018,1532736000,470.24,471.47,461.55,1.07,468.78,461.39526217440533
28/11/2018,1543363200,111.19,126.6,111.19,5.41,122.74,123.27930647385878
29/05/2019,1559088000,271.16,273.72,260.85,22.33,268.61,264.78016912106006
29/06/2019,1561766400,310.52,324.13,295.44,9.03,318.48,310.6719767272906
29/10/2018,1540771200,204.84,205.79,195.03,17.76,197.05,197.9643594898319
29/11/2018,1543449600,122.75,123.77,114.81,4.0,117.85,117.19166145573507
30/03/2018,1522368000,384.13,411.17,366.12,1.96,393.79,394.50188906390247
30/06/2019,1561852800,318.26,323.21,290.78,9.82,292.21,303.6018262440635
30/07/2018,1532908800,466.41,468.6,447.06,1.38,456.64,452.5505332936376
30/09/2018,1538265600,231.9,238.64,227.01,8.74,232.8,232.4992859235178
31/03/2018,1522454400,393.75,419.07,390.09,1.21,393.96,410.4277597459038
31/03/2019,1553990400,142.65,142.69,140.71,9.33,141.79,139.40026499377768
